Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,
save,save,save,speichern,保存,救,Сохранить,Uložit,zapisać,mentés,Salva,salvar,sauvegarder,Salve ,セーブ,
Player_Name,Player Name,Player Name,Spieler Name,参赛者姓名,參賽者姓名,Имя игрока,Jméno hráče,Nazwa gracza,Játékos neve,Nome del giocatore,Nombre del jugador,Nom de joueur,Nome do jogador,プレーヤの名前,
yes,yes,yes,ja,已购买,是的,да,Ano,tak,Igen,sì,sí,Oui,sim,はい,
no,no,no,nein,未购买,不,нет,Ne,Nie,nem,no,No,non,não,番号,
nothing_is_selected,Nothing is selected,Nothing is selected,Es ist nichts ausgewählt.,没有选择,沒有選擇,Ничего не выбрано,Nic není vybráno,Nic nie jest wybrane,Nincs kiválasztva semmi,Niente è selezionato,No hay nada seleccionado,Rien n'est sélectionné,Nada está selecionado,何も選択されていません,
message_is_empty,Message field is empty,Message field is empty,Nachricht ist leer,消息字段为空,消息字段為空,Поле сообщения пусто,Pole zprávy je prázdné,Pole wiadomości jest puste,Üzenetmező üres,Il campo del messaggio è vuoto,El campo del mensaje está vacío,Le champ du message est vide,O campo da mensagem está vazio,メッセージフィールドが空です,
Contacts,Contacts,Contacts,Kontakte,联络人,聯絡人,Контакты,Kontakty,Łączność,Névjegyek,Contatti,Contactos,Contacts,Contatos,連絡先,
Add_Contacts,Add Contacts,Add Contacts,Kontakt hinzufügen,添加联系人,添加聯繫人,Добавить контакты,Přidat kontakty,Dodaj kontakty,Személyek hozzáadása,Aggiungi contatti,Añadir contactos,Ajouter des contacts,Adicionar contatos,連絡先を追加,
Player,Player,Player,Spieler,玩家,播放器,Игрок,Hráč,Gracz,Játékos,Giocatore,Jugador,Joueur,Jogador,プレーヤー,
Date_time,Date Time,Date Time,Datum Uhrzeit,约会时间,約會時間,Дата Время,Čas schůzky,Data i godzina,Dátum idő,Appuntamento,Fecha y hora,Date Heure,Data hora,日付時刻,
Message_Preview,Message Preview,Message Preview,Vorschau,留言预览,留言預覽,Предварительный просмотр сообщения,Náhled zprávy,Podgląd wiadomości,Üzenet előnézete,Anteprima del messaggio,Vista previa del mensaje,Aperçu du message,Antevisão da Mensagem,メッセージプレビュー,
Delete_Contacts,Delete Contact,Delete Contact,Kontakt Löschen,删除联络人,刪除聯絡人,Удалить контакт,Smazat kontakt,Usuń kontakt,Névjegy törlése,Elimina contatto,Borrar contacto,Supprimer le contact,Excluir contato,連絡先を削除,
Send_Global,Send Global,Send Global,An alle senden,发送全球,發送全球,Отправить по всему миру,Odeslat globálně,Wyślij globalnie,Küldés globális,Invia globale,Enviar Global,Envoyer global,Enviar Global,グローバルに送信,
Delete_Message,Delete Message,Delete Message,Nachricht Löschen,删除留言,刪除留言,Удаленное сообщение,Smazat zprávu,Usuń wiadomość,Üzenet törlése,Cancella il messaggio,Borrar mensaje,Supprimer le message,Apagar mensagem,メッセージを削除,
replay_to_player,Replay to player,Replay to player,Spieler Antworten,重播给玩家,重播給玩家,Воспроизвести игроку,Přehrát hráči,Odtwórz ponownie graczowi,Visszajátszás a lejátszóra,Riproduci di nuovo al giocatore,Reproducir al jugador,Rejouer au joueur,Repetir para o jogador,プレイヤーにリプレイ,
send_to_online_player,Send to online Player,Send to online Player,Senden zu online Spieler,发送到在线玩家,發送到在線播放器,Отправить онлайн-игроку,Odeslat online hráči,Wyślij do gracza online,Küldés az online lejátszóra,Invia al giocatore in linea,Enviar a jugador en línea,Envoyer au joueur en ligne,Enviar para jogador online,オンラインプレーヤーに送信,
send_to_contact,Send to contact,Send to contact,Senden zu Kontakt,发送给联系人,發送給聯繫人,Отправить в контакт,Odeslat kontakt,Wyślij do kontaktu,Küldés a kapcsolattartónak,Invia a contatto,Enviar a contacto,Envoyer au contact,Enviar para contato,連絡先に送信,
Message_Menu,Messages,Messages,Nachrichten,留言内容,留言內容,Сообщения,Zprávy,Wiadomości,üzenetek,Messaggi,Mensajes,messages,Mensagens,メッセージ,
your_message,Your message,Your message,Deine Nachricht,您的留言,您的留言,Ваше сообщение,Vaše zpráva,Twoja wiadomość,Az üzeneted,Il tuo messaggio,Tu mensaje,Votre message,Sua mensagem,あなたのメッセージ,
message_was_send,Message was send,Message was send,Nachricht wurde gesendet,消息已发送,消息已發送,Сообщение было отправлено,Zpráva byla odeslána,Wiadomość została wysłana,Üzenet elküldve,Il messaggio è stato inviato,Se envió el mensaje,Le message a été envoyé,A mensagem foi enviada,メッセージが送信されました,
you_got_a_message,You got a message,You got a message,Du hast eine neue Nachricht,您收到一条消息,您收到一條消息,У тебя есть сообщение,Máte zprávu,Dostałeś wiadomość,Van egy üzeneted,Hai ricevuto un messaggio,Tienes un mensaje,Vous avez un message,Você recebeu uma mensagem,メッセージが届きました,
missing_tool_item,You have not the tools to start this action,You have not the tools to start this action,Du hast nicht das Werkzeug um die Aktion auszuführen.,您没有启动此操作的工具,您沒有啟動此操作的工具,"У вас нет инструментов, чтобы начать это действие",K zahájení této akce nemáte nástroje,"Nie masz narzędzi, aby rozpocząć tę akcję",Nincsenek eszközei a művelet elindításához,Non hai gli strumenti per avviare questa azione,No tienes las herramientas para iniciar esta acción.,Vous n'avez pas les outils pour démarrer cette action,Você não tem as ferramentas para iniciar esta ação,このアクションを開始するためのツールがありません,
you_can_not_answer_this_message_missing_sender_id,"You can not answer this message,missing sender id","You can not answer this message,missing sender id",Du kannst auf diese Nachricht nicht antworten. Fehlende Absender ID,您无法回答此消息，缺少发件人ID,您無法回答此消息，缺少發件人ID,"Вы не можете ответить на это сообщение, отсутствует идентификатор отправителя","Na tuto zprávu nemůžete odpovědět, chybí ID odesílatele","Nie możesz odpowiedzieć na tę wiadomość, brak identyfikatora nadawcy","Nem válaszolhat erre az üzenetre, hiányzik a feladó azonosítója","Non puoi rispondere a questo messaggio, manca l'ID mittente","No puede contestar este mensaje, falta la identificación del remitente","Vous ne pouvez pas répondre à ce message, identifiant d'expéditeur manquant","Você não pode responder a esta mensagem, ID de remetente ausente",送信者IDがないため、このメッセージに回答できません,
recipient_is_not_online_you_can_not_answer,"Recipient is not online,you can not answer.","Recipient is not online,you can not answer.","Empfänger ist nicht online,du kannst nicht antworten.",收件人不在线，您无法回答。,收件人不在網上，您無法回答。,"Получатель не в сети, вы не можете ответить.","Příjemce není online, nemůžete odpovědět.","Odbiorca nie jest online, nie możesz odpowiedzieć.","A címzett nincs online állapotban, nem tud válaszolni.","Il destinatario non è online, non puoi rispondere.","El destinatario no está en línea, no puede responder.","Le destinataire n'est pas en ligne, vous ne pouvez pas répondre.","O destinatário não está online, você não pode responder.",受信者はオンラインではありません、あなたは答えることができません。,
inbox,Inbox,Inbox,Eingang,收件箱,收件箱,Входящие,Doručená pošta,W pudełku,Beérkező levelek,Posta in arrivo,Bandeja de entrada,Boîte de réception,Caixa de entrada,受信トレイ,
outbox,Outbox,Outbox,Ausgang,发件箱,發件箱,Исходящие,K odeslání,Skrzynka nadawcza,Kimenő,Posta in uscita,Bandeja de salida,Boîte d'envoi,Caixa de fora,送信トレイ,
seconds,seconds,seconds,Sekunden,秒,秒,секунды,sekundy,sekundy,másodpercig,secondi,segundos,secondes,segundos,秒,
send_anonymous, send anonymous, send anonymous, anonym senden,匿名发送,匿名發送,отправить анонимно,poslat anonym,wyślij anonimowo,névtelenül küldje el,inviare anonimo,  enviar anonimo,  envoyer anonyme,  enviar anônimo,  匿名で送信,
send_contact, send contact, send contact, Kontakt senden,发送联系方式,  發送聯繫方式,  отправить контакт,  poslat kontakt,  wyślij kontakt,  névjegy küldése,  invia contatto,  enviar contacto,  envoyer un contact,  enviar contato,  連絡先を送信,
contact_was_send, contact was send, contact was send, Kontakt wurde gesendet,联系人已发送,  聯繫人已發送,  контакт был отправлен,  kontakt byl odeslán,  kontakt został wysłany,  kapcsolat elküldve,  il contatto è stato inviato,  contacto fue enviado,  le contact a été envoyé,  contato foi enviado,  連絡先が送信されました,
got_new_contact, you got a new contact, you got a new contact, Du hast einen neuen Kontakt bekommen,你有一个新联系人,  你有一個新聯繫人,  у тебя новый контакт,  máte nový kontakt,  masz nowy kontakt,  új kapcsolatod van,  hai un nuovo contatto,  tienes un nuevo contacto,  tu as un nouveau contact,  você tem um novo contato,  新しい連絡先を取得しました,
